exchange,symbol,expiry,strike,call_gex,put_gex,call_oi,put_oi,spot_price
Deribit,BTC,2026-04-17,71500.0,25563187.187512588,-11149900.79455336,75.2,32.8,75270.18
Deribit,BTC,2026-04-17,72000.0,134365369.53436357,-109895643.14631686,338.8,277.1,75270.18
Deribit,BTC,2026-04-17,72500.0,25699161.58744616,-35489318.38266374,50.4,69.6,75270.18
Deribit,BTC,2026-04-17,73000.0,397951743.8056037,-84417439.95876275,702.4,149.0,75270.18
Deribit,BTC,2026-04-17,73500.0,11778782.394246157,-43064225.57896346,18.9,69.1,75270.18
Deribit,BTC,2026-04-17,74000.0,1139533458.6433468,-63500044.768980734,1676.1,93.4,75270.18
Deribit,BTC,2026-04-17,74500.0,0.0,-45296471.97787302,0.0,61.5,75270.18
Deribit,BTC,2026-04-17,75000.0,732584742.0421381,-96213219.15300058,923.6,121.3,75270.18
Deribit,BTC,2026-04-17,75500.0,14594585.592870658,-41642159.979658134,18.4,52.5,75270.18
Deribit,BTC,2026-04-17,76000.0,1119448906.653158,-49568334.375786245,1519.9,67.3,75270.18
Deribit,BTC,2026-04-17,78000.0,119470507.1416396,0.0,234.3,0.0,75270.18
Deribit,BTC,2026-04-17,80000.0,626638022.0938923,0.0,2765.1,0.0,75270.18
Deribit,BTC,2026-04-17,82000.0,136665603.13323992,0.0,1206.1,0.0,75270.18
Deribit,BTC,2026-04-24,60000.0,0.0,-177480585.51330212,0.0,3132.6,75270.18
Deribit,BTC,2026-04-24,61000.0,0.0,-93618374.35426818,0.0,1652.4,75270.18
Deribit,BTC,2026-04-24,62000.0,0.0,-278634207.8638894,0.0,4918.0,75270.18
Deribit,BTC,2026-04-24,63000.0,0.0,-78576206.36161616,0.0,1386.9,75270.18
Deribit,BTC,2026-04-24,64000.0,13489793.593410343,-62576551.969431855,238.1,1104.5,75270.18
Deribit,BTC,2026-04-24,65000.0,16713519.99183558,-416636892.5964762,147.5,3676.9,75270.18
Deribit,BTC,2026-04-24,66000.0,131679875.13567542,-216618550.29418355,1162.1,1911.7,75270.18
Deribit,BTC,2026-04-24,67000.0,157152412.72323233,-263133126.27146155,1386.9,2322.2,75270.18
Deribit,BTC,2026-04-24,68000.0,423951182.1929032,-254612063.875624,2494.3,1498.0,75270.18
Deribit,BTC,2026-04-24,69000.0,124484563.13919026,-192267801.5060787,549.3,848.4,75270.18
Deribit,BTC,2026-04-24,70000.0,611930124.5010769,-400421945.4043971,2700.2,1766.9,75270.18
Deribit,BTC,2026-04-24,71000.0,312259543.84746367,-182064055.91106316,1102.3,642.7,75270.18
Deribit,BTC,2026-04-24,72000.0,1293898396.1679409,-625618214.0943905,3806.3,1840.4,75270.18
Deribit,BTC,2026-04-24,73000.0,495264089.35806733,-223360614.2908901,1248.8,563.2,75270.18
Deribit,BTC,2026-04-24,74000.0,616026353.2990758,-272458703.86690605,1553.3,687.0,75270.18
Deribit,BTC,2026-04-24,75000.0,1793270045.5240014,-424948327.79241604,4521.7,1071.5,75270.18
Deribit,BTC,2026-04-24,76000.0,1223271026.6024418,-49449356.77584437,2698.9,109.1,75270.18
Deribit,BTC,2026-04-24,77000.0,361453948.6234326,0.0,911.4,0.0,75270.18
Deribit,BTC,2026-04-24,78000.0,685033361.2653666,-84553414.35869631,1727.3,213.2,75270.18
Deribit,BTC,2026-04-24,79000.0,216029327.8944714,0.0,635.5,0.0,75270.18
Deribit,BTC,2026-04-24,80000.0,747774215.6347182,-207247647.89876115,2639.7,731.6,75270.18
Deribit,BTC,2026-04-24,81000.0,382473324.61316484,0.0,1687.7,0.0,75270.18
Deribit,BTC,2026-04-24,82000.0,473236236.56882787,-25064614.38775613,2088.2,110.6,75270.18
Deribit,BTC,2026-04-24,83000.0,229864723.0877129,0.0,1352.4,0.0,75270.18
Deribit,BTC,2026-04-24,84000.0,178466399.91282058,-57437852.771942064,1575.0,506.9,75270.18
Deribit,BTC,2026-04-24,85000.0,321806079.84280026,0.0,2840.0,0.0,75270.18
Deribit,BTC,2026-04-24,86000.0,116903990.34289333,-26044763.18727734,2063.4,459.7,75270.18
Deribit,BTC,2026-04-24,88000.0,64423537.568529606,-12668281.593811644,1137.1,223.6,75270.18
Deribit,BTC,2026-04-24,90000.0,78451563.16167703,-16849494.391769156,1384.7,297.4,75270.18
Deribit,BTC,2026-05-01,60000.0,0.0,-13506790.39340204,0.0,238.4,75270.18
Deribit,BTC,2026-05-01,64000.0,0.0,-19523657.590462852,0.0,172.3,75270.18
Deribit,BTC,2026-05-01,65000.0,0.0,-16543551.991918607,0.0,146.0,75270.18
Deribit,BTC,2026-05-01,66000.0,0.0,-12158377.594060728,0.0,107.3,75270.18
Deribit,BTC,2026-05-01,68000.0,0.0,-20515137.589978516,0.0,120.7,75270.18
Deribit,BTC,2026-05-01,69000.0,0.0,-13563446.393374363,0.0,79.8,75270.18
Deribit,BTC,2026-05-01,70000.0,0.0,-24339417.588110387,0.0,107.4,75270.18
Deribit,BTC,2026-05-01,71000.0,0.0,-19852262.390302327,0.0,87.6,75270.18
Deribit,BTC,2026-05-01,73000.0,31784015.98447376,-23738863.988403752,112.2,83.8,75270.18
Deribit,BTC,2026-05-01,74000.0,0.0,-20430153.59002003,0.0,60.1,75270.18
Deribit,BTC,2026-05-01,75000.0,71182598.36522786,0.0,209.4,0.0,75270.18
Deribit,BTC,2026-05-01,76000.0,173945251.11502913,0.0,511.7,0.0,75270.18
Deribit,BTC,2026-05-01,77000.0,39432575.9807375,0.0,116.0,0.0,75270.18
Deribit,BTC,2026-05-01,78000.0,131419257.53580274,0.0,386.6,0.0,75270.18
Deribit,BTC,2026-05-01,80000.0,216199295.89438838,0.0,763.2,0.0,75270.18
Deribit,BTC,2026-05-01,85000.0,80168239.96083845,0.0,707.5,0.0,75270.18
Deribit,BTC,2026-05-29,54000.0,0.0,-24979630.387797646,0.0,440.9,75270.18
Deribit,BTC,2026-05-29,56000.0,0.0,-28894559.985885236,0.0,510.0,75270.18
Deribit,BTC,2026-05-29,57000.0,0.0,-27942739.186350197,0.0,493.2,75270.18
Deribit,BTC,2026-05-29,58000.0,0.0,-14656907.192840215,0.0,258.7,75270.18
Deribit,BTC,2026-05-29,59000.0,0.0,-15829686.392267322,0.0,279.4,75270.18
Deribit,BTC,2026-05-29,60000.0,0.0,-45030188.77800311,0.0,794.8,75270.18
Deribit,BTC,2026-05-29,61000.0,0.0,-15574734.392391866,0.0,274.9,75270.18
Deribit,BTC,2026-05-29,62000.0,0.0,-12079059.194099477,0.0,213.2,75270.18
Deribit,BTC,2026-05-29,63000.0,0.0,-18288556.791066185,0.0,161.4,75270.18
Deribit,BTC,2026-05-29,64000.0,0.0,-32905804.78392577,0.0,290.4,75270.18
Deribit,BTC,2026-05-29,65000.0,0.0,-52168844.774515934,0.0,460.4,75270.18
Deribit,BTC,2026-05-29,66000.0,36679094.38208255,-57528502.37189778,323.7,507.7,75270.18
Deribit,BTC,2026-05-29,67000.0,21495286.389499724,-31092812.784811404,189.7,274.4,75270.18
Deribit,BTC,2026-05-29,68000.0,110292235.1461231,-73222214.36423153,648.9,430.8,75270.18
Deribit,BTC,2026-05-29,69000.0,86309750.35783838,-97782590.35223398,507.8,575.3,75270.18
Deribit,BTC,2026-05-29,70000.0,159990878.3218457,-255376919.8752504,941.3,1502.5,75270.18
Deribit,BTC,2026-05-29,71000.0,78219273.56179051,-59879726.37074923,460.2,352.3,75270.18
Deribit,BTC,2026-05-29,72000.0,156234585.52368066,-136994207.93307942,919.2,806.0,75270.18
Deribit,BTC,2026-05-29,73000.0,66270523.167627364,-29370470.38565276,389.9,172.8,75270.18
Deribit,BTC,2026-05-29,74000.0,91765723.15517317,-37409956.78172553,539.9,220.1,75270.18
Deribit,BTC,2026-05-29,75000.0,195009951.9047392,-52984691.1741174,860.5,233.8,75270.18
Deribit,BTC,2026-05-29,76000.0,177559903.91326338,0.0,783.5,0.0,75270.18
Deribit,BTC,2026-05-29,77000.0,78683852.76156357,0.0,347.2,0.0,75270.18
Deribit,BTC,2026-05-29,78000.0,203417702.3006321,0.0,897.6,0.0,75270.18
Deribit,BTC,2026-05-29,79000.0,58808927.971272305,0.0,259.5,0.0,75270.18
Deribit,BTC,2026-05-29,80000.0,1107086567.4591968,0.0,6513.5,0.0,75270.18
Deribit,BTC,2026-05-29,81000.0,136552291.13329527,0.0,803.4,0.0,75270.18
Deribit,BTC,2026-05-29,82000.0,80275886.36078587,0.0,472.3,0.0,75270.18
Deribit,BTC,2026-05-29,83000.0,68293142.36663935,0.0,401.8,0.0,75270.18
Deribit,BTC,2026-05-29,84000.0,454290470.1780827,0.0,2672.8,0.0,75270.18
Deribit,BTC,2026-05-29,85000.0,385232471.811817,0.0,2266.5,0.0,75270.18
Deribit,BTC,2026-05-29,86000.0,101521886.35040735,0.0,597.3,0.0,75270.18
Deribit,BTC,2026-05-29,88000.0,34435516.78317852,0.0,303.9,0.0,75270.18
Deribit,BTC,2026-05-29,90000.0,51307673.57493661,0.0,452.8,0.0,75270.18
Deribit,BTC,2026-05-29,92000.0,37642246.38161206,0.0,332.2,0.0,75270.18
Deribit,BTC,2026-05-29,94000.0,34803780.78299863,0.0,614.3,0.0,75270.18
Deribit,BTC,2026-05-29,95000.0,84955671.95849983,0.0,1499.5,0.0,75270.18
Deribit,BTC,2026-05-29,98000.0,75913374.36291692,0.0,1339.9,0.0,75270.18
Deribit,BTC,2026-05-29,100000.0,14243318.393042251,0.0,251.4,0.0,75270.18
Deribit,BTC,2026-06-26,55000.0,12492647.993897442,-70412076.76560426,220.5,1242.8,75270.18
Deribit,BTC,2026-06-26,58000.0,0.0,-21234668.789627034,0.0,374.8,75270.18
Deribit,BTC,2026-06-26,60000.0,29092855.98578837,-212125729.49637827,513.5,3744.1,75270.18
Deribit,BTC,2026-06-26,62000.0,0.0,-50973403.1750999,0.0,899.7,75270.18
Deribit,BTC,2026-06-26,64000.0,0.0,-24679353.587944333,0.0,217.8,75270.18
Deribit,BTC,2026-06-26,65000.0,108405590.34704474,-165673475.1190698,956.7,1462.1,75270.18
Deribit,BTC,2026-06-26,66000.0,46967823.97705659,-81448665.56021297,414.5,718.8,75270.18
Deribit,BTC,2026-06-26,68000.0,143532310.3298856,-258736620.67360923,1266.7,2283.4,75270.18
Deribit,BTC,2026-06-26,70000.0,400308633.40445244,-422687753.3935204,3532.8,3730.3,75270.18
Deribit,BTC,2026-06-26,72000.0,436188878.1869252,-277251801.4645647,2566.3,1631.2,75270.18
Deribit,BTC,2026-06-26,74000.0,124212614.3393231,-37036027.18190819,730.8,217.9,75270.18
Deribit,BTC,2026-06-26,75000.0,264997108.67055097,-377617905.41553664,1559.1,2221.7,75270.18
Deribit,BTC,2026-06-26,76000.0,95895945.55315559,0.0,564.2,0.0,75270.18
Deribit,BTC,2026-06-26,78000.0,105856070.34829015,-13359484.793473996,622.8,78.6,75270.18
Deribit,BTC,2026-06-26,80000.0,576939378.9181697,-423407284.59316885,3394.4,2491.1,75270.18
Deribit,BTC,2026-06-26,82000.0,114609422.3440142,0.0,674.3,0.0,75270.18
Deribit,BTC,2026-06-26,84000.0,67851225.5668552,0.0,399.2,0.0,75270.18
Deribit,BTC,2026-06-26,85000.0,262951827.0715501,-325432063.84102905,2320.6,2872.0,75270.18
Deribit,BTC,2026-06-26,86000.0,32407231.984169323,0.0,286.0,0.0,75270.18
Deribit,BTC,2026-06-26,88000.0,98751407.95176072,0.0,871.5,0.0,75270.18
Deribit,BTC,2026-06-26,90000.0,512453519.7496705,-192154489.50613406,4522.5,1695.8,75270.18
Deribit,BTC,2026-06-26,95000.0,96989406.35262145,-55318918.372977145,1711.9,976.4,75270.18
Deribit,BTC,2026-06-26,100000.0,137719404.73272517,-56429375.97243469,2430.8,996.0,75270.18
Deribit,BTC,2026-06-26,105000.0,72400702.36463284,-16962806.3917138,1277.9,299.4,75270.18
Deribit,BTC,2026-06-26,110000.0,76627239.9625682,-53222646.37400116,1352.5,939.4,75270.18
